00190	-8.247353	0B97151C	Jilin University
00191	-8.249916	077EC9E4	University Of Western Ontario
00192	-8.251452	023B9EF3	Wuhan University
00193	-8.259046	4C6B6145	Argonne National Laboratory
00194	-8.263367	01776B6C	University Of Massachusetts Amherst
00195	-8.265075	35E9831D	Ruhr University Bochum
00196	-8.265197	0BC3491B	Korea University
00197	-8.265841	01444027	Charles University In Prague
00198	-8.268447	339CD1B3	Vu University Amsterdam
00199	-8.268642	0AD23220	Baylor College Of Medicine
00200	-8.272063	09287CDD	University Of Leicester
00201	-8.274583	078A8AE9	University Of Science And Technology Of China
00202	-8.275751	0C14EACF	University Of Zurich
00203	-8.282967	09676E2E	Sun Yat Sen University
00204	-8.283206	0478D4F8	University Of Tennessee
00205	-8.286907	059E9386	Yale School Of Medicine
00206	-8.286940	4EC16293	National Institute Of Standards And Technology
00207	-8.287370	00C50601	Northeastern University
00208	-8.287762	03839B48	Case Western Reserve University
00209	-8.289459	03EC9BA0	Kobe University
00210	-8.294104	4CC89935	United States Naval Research Laboratory
00211	-8.297879	3333E44B	Virginia Tech
00212	-8.301232	097CD675	University Of Hamburg
00213	-8.306487	0742D5C5	Louisiana State University
00214	-8.308414	01A842AA	Brown University
00215	-8.308522	04946B1E	University Of Missouri
00216	-8.308711	08D69EB4	Lawrence Berkeley National Laboratory
00217	-8.312068	346D1394	Sao Paulo State University
00218	-8.321348	0755844E	Autonomous University Of Barcelona
00219	-8.325380	04F2C66A	Eindhoven University Of Technology
00220	-8.328112	0747B7A8	Federal University Of Rio De Janeiro
00221	-8.332308	4E61E7F4	American Society For Biochemistry And Molecular Biology
00222	-8.333659	09995E41	University Of Freiburg
00223	-8.334984	4E36ED43	Agricultural Research Service
00224	-8.337570	4F19FC7A	Faculty Of Chemistry
00225	-8.338947	0259891E	University Of Illinois At Chicago
00226	-8.339778	035F81F4	Monash University
00227	-8.345456	0C2C9DD2	University Of California Irvine
00228	-8.350038	4F8FBAE3	Memorial Sloan Kettering Cancer Center
00229	-8.368301	08D7E515	National Chiao Tung University
00230	-8.372893	03C436D1	University At Buffalo
00231	-8.384129	088AA042	University Of Kentucky
00232	-8.386690	050BB43F	Academia Sinica
00233	-8.398808	05F6E42A	University Of Stuttgart
00234	-8.415227	373A6845	Leipzig University
00235	-8.415433	0486EC92	Free University Of Berlin
00236	-8.416040	0045D019	Hanyang University
00237	-8.416358	0AF6A309	King S College London
00238	-8.419521	0B78A057	Sandia National Laboratories
00239	-8.421640	09368EC9	University Of California Santa Barbara
00240	-8.434633	044C0559	Bell Labs
00241	-8.437515	4EF77785	Hewlett Packard
00242	-8.442220	00F5A2C2	University Of Valencia
00243	-8.454198	092FD9CF	University Of Auckland
00244	-8.455361	4C6E8511	Lawrence Livermore National Laboratory
00245	-8.461523	0582A04E	Colorado State University
00246	-8.468105	0508EA45	The Catholic University Of America
00247	-8.475079	05364FE4	Xi An Jiaotong University
00248	-8.480799	004B1A5C	Pusan National University
00249	-8.483750	01489C7D	Birmingham City University Faculty Of Health
00250	-8.488084	0AC8AD72	University Of Cologne
00251	-8.491882	0B546E88	Durham University
00252	-8.494924	02965656	Laval University
00253	-8.495820	0388650E	Indian Institute Of Science
00254	-8.496520	085ADB71	University Of Connecticut
00255	-8.497803	07862589	Queen S University Belfast
00256	-8.500374	0A9A3087	University Of Western Australia
00257	-8.505481	3681C48D	The School Of Life
00258	-8.507254	07C665E3	Universidade Federal Do Rio Grande Do Sul
00259	-8.509040	3679E6DC	Erasmus University Rotterdam
00260	-8.511436	000CF342	Sungkyunkwan University
00261	-8.514457	0056B275	University Of Adelaide
00262	-8.517162	0099FA30	Kanazawa University
00263	-8.521843	05615F59	Umea University
00264	-8.526966	08BA2180	University Of Kansas
00265	-8.527548	4EFAADCD	Russian Academy
00266	-8.527707	03376F29	Weizmann Institute Of Science
00267	-8.527746	0BF6BC56	Vanderbilt University
00268	-8.528365	0C103FFF	Academy Of Sciences Of The Czech Republic
00269	-8.531535	0045D9F6	Technical University Of Berlin
00270	-8.535054	0B0DA3DC	Wayne State University
00271	-8.545851	03E20219	Hitachi
00272	-8.549097	04416949	Niigata University
00273	-8.550789	01A17328	Dalian University Of Technology
00274	-8.556291	050F3ADA	Newcastle University
00275	-8.556749	025B9122	University Of Warwick
00276	-8.561323	03C3607B	University Of Cincinnati
00277	-8.562312	0A546C41	University Of Granada
00278	-8.567221	0C3BAC1F	Nankai University
00279	-8.568538	4F1AE805	State University Of New York System
00280	-8.571326	09299093	University Of Ottawa
00281	-8.573552	0542F2B1	Federal University Of Sao Paulo
00282	-8.575274	05B9651E	Kumamoto University
00283	-8.576852	08530CBF	Central South University
00284	-8.577497	07679147	Ben Gurion University Of The Negev
00285	-8.577694	4F3BE6AD	Philips
00286	-8.578345	0AD3BA36	University Of Strathclyde
00287	-8.580822	069F11AE	Boston University
00288	-8.581284	34898359	University Of Gothenburg
00289	-8.581880	4C7A9B63	At T
00290	-8.582030	052F5108	Royal Institute Of Technology
00291	-8.584751	09B52E07	Tianjin University
00292	-8.589359	08B17323	Vienna University Of Technology
